id,date_updated,vehicle_id,vehicle_label,vehicle_current_status,position_latitude,position_longitude,geographic_point,position_speed,position_odometer,trip_schedule_relationship
57,1/27/2021 18:00,1190,2308,1,19.48220062,-99.10559845,"19.4822006226,-99.1055984497",0,0,0
58,1/27/2021 18:00,1191,2309,2,19.48010063,-99.10089874,"19.4801006317,-99.1008987427",8,0,0
59,1/27/2021 18:00,1236,2312,2,19.4041996,-99.1733017,"19.4041996002,-99.1733016968",10,0,0
60,1/27/2021 18:00,1214,2313,2,19.40449905,-99.17420197,"19.404499054,-99.1742019653",8,0,0
61,1/27/2021 18:00,1217,2316,2,19.38430023,-99.0759964,"19.3843002319,-99.0759963989",6,478,0
62,1/27/2021 18:00,10007,2338,2,19.3864994,-99.07949829,"19.3864994049,-99.079498291",6,0,0
63,1/27/2021 18:00,1237,2346,2,19.39609909,-99.15910339,"19.3960990906,-99.1591033936",11,415,0
64,1/27/2021 18:00,1025,2352,2,19.38640022,-99.07189941,"19.3864002228,-99.0718994141",13,564,0
65,1/27/2021 18:00,1230,2361,2,19.39780045,-99.12930298,"19.3978004456,-99.1293029785",0,0,0
66,1/27/2021 18:00,1233,2364,1,19.39389992,-99.09049988,"19.3938999176,-99.0904998779",6,0,0
67,1/27/2021 18:00,1241,2376,1,19.39579964,-99.15499878,"19.3957996368,-99.1549987793",3,0,0
68,1/27/2021 18:00,178,120,2,19.37339973,-99.17910004,"19.3733997345,-99.1791000366",0,510,0
69,1/27/2021 18:00,1287,220,2,19.4510994,-99.10970306,"19.4510993958,-99.109703064",10,306,0
70,1/27/2021 18:00,1288,221,2,19.39080048,-99.04730225,"19.3908004761,-99.0473022461",0,46,2
71,1/27/2021 18:00,366,308,2,19.39649963,-99.05619812,"19.3964996338,-99.0561981201",9,0,0
72,1/27/2021 18:00,416,358,1,19.40780067,-99.18920135,"19.4078006744,-99.189201355",4,0,0
73,1/27/2021 18:00,422,364,2,19.40460014,-99.17420197,"19.4046001434,-99.1742019653",6,0,0
74,1/27/2021 18:00,432,374,1,19.40200043,-99.18710327,"19.4020004272,-99.1871032715",0,0,0
75,1/27/2021 18:00,450,392,2,19.39450073,-99.14089966,"19.3945007324,-99.1408996582",6,0,0
76,1/27/2021 18:00,452,394,2,19.39100075,-99.04769897,"19.3910007477,-99.0476989746",0,0,0
77,1/27/2021 18:00,1021,398,2,19.39710045,-99.10289764,"19.3971004486,-99.102897644",9,648,0
78,1/27/2021 18:00,24,424,2,19.52050018,-99.16410065,"19.5205001831,-99.164100647",6,566,0
79,1/27/2021 18:00,26,426,2,19.46069908,-99.14389801,"19.4606990814,-99.1438980103",8,332,0
80,1/27/2021 18:00,35,435,2,19.47940063,-99.14820099,"19.4794006348,-99.1482009888",1,0,0
81,1/27/2021 18:00,51,451,2,19.39710045,-99.15589905,"19.3971004486,-99.1558990479",0,294,2
82,1/27/2021 18:00,56,456,2,19.47360039,-99.14600372,"19.4736003876,-99.1460037231",0,710,0
83,1/27/2021 18:00,986,472,1,19.44619942,-99.14710236,"19.4461994171,-99.147102356",1,0,0
84,1/27/2021 18:00,472,514,1,19.44219971,-99.15249634,"19.442199707,-99.1524963379",0,0,0
85,1/27/2021 18:00,474,516,1,19.42519951,-99.11979675,"19.4251995087,-99.1197967529",5,0,0
86,1/27/2021 18:00,476,518,2,19.43790054,-99.1486969,"19.4379005432,-99.1486968994",2,285,0
87,1/27/2021 18:00,482,524,1,19.43040085,-99.14179993,"19.4304008484,-99.1417999268",5,0,0
88,1/27/2021 18:00,499,541,1,19.43050003,-99.11509705,"19.4305000305,-99.1150970459",0,0,0
89,1/27/2021 18:00,500,542,2,19.42720032,-99.11620331,"19.4272003174,-99.1162033081",0,558,0
90,1/27/2021 18:00,501,543,2,19.43099976,-99.11540222,"19.4309997559,-99.1154022217",0,556,0
91,1/27/2021 18:00,502,544,2,19.43880081,-99.15319824,"19.4388008118,-99.1531982422",4,0,0
92,1/27/2021 18:00,505,547,1,19.42609978,-99.12999725,"19.4260997772,-99.1299972534",6,0,0
93,1/27/2021 18:00,508,550,2,19.4253006,-99.12010193,"19.4253005981,-99.1201019287",1,59,0
94,1/27/2021 18:00,511,553,1,19.42970085,-99.13639832,"19.4297008514,-99.1363983154",5,0,0
95,1/27/2021 18:00,558,615,2,19.4904995,-99.09320068,"19.4904994965,-99.0932006836",11,328,0
96,1/27/2021 18:00,561,618,2,19.50690079,-99.08570099,"19.5069007874,-99.0857009888",0,762,0
97,1/27/2021 18:00,1179,623,2,19.4598999,-99.10579681,"19.4598999023,-99.105796814",4,465,0
98,1/27/2021 18:00,1075,702,1,19.51180077,-99.19609833,"19.511800766,-99.1960983276",0,122,2
99,1/27/2021 18:00,1079,706,1,19.4769001,-99.07250214,"19.4769001007,-99.0725021362",7,0,0
100,1/27/2021 18:00,1089,716,2,19.49749947,-99.16459656,"19.4974994659,-99.1645965576",0,487,0
101,1/27/2021 18:00,1091,718,2,19.49189949,-99.13860321,"19.4918994904,-99.1386032104",8,0,0
102,1/27/2021 18:00,1180,731,1,19.48789978,-99.11460114,"19.4878997803,-99.1146011353",6,0,0
103,1/27/2021 18:00,1181,732,2,19.48880005,-99.12830353,"19.4888000488,-99.1283035278",5,0,0
104,1/27/2021 18:00,1185,736,2,19.50699997,-99.19950104,"19.5069999695,-99.1995010376",0,161,2
105,1/27/2021 18:00,1117,764,2,19.49489975,-99.15339661,"19.4948997498,-99.1533966064",8,563,0
106,1/27/2021 18:00,1122,769,2,19.46910095,-99.06410217,"19.4691009521,-99.0641021729",8,308,0
108,1/27/2021 18:00,1141,793,2,19.51110077,-99.1984024,"19.511100769,-99.1984024048",6,137,0
109,1/27/2021 18:00,1144,796,2,19.46949959,-99.06469727,"19.469499588,-99.0646972656",4,0,0
110,1/27/2021 18:00,1146,798,2,19.48380089,-99.11779785,"19.4838008881,-99.1177978516",11,318,0
111,1/27/2021 18:00,711,811,2,19.48719978,-99.11389923,"19.4871997833,-99.113899231",0,157,2
112,1/27/2021 18:00,714,814,1,19.42810059,-99.16500092,"19.4281005859,-99.1650009155",1,0,0
113,1/27/2021 18:00,719,819,1,19.42420006,-99.17389679,"19.424200058,-99.1738967896",10,0,0
114,1/27/2021 18:00,730,830,1,19.4314003,-99.15840149,"19.4314002991,-99.1584014893",7,0,0
115,1/27/2021 18:00,745,845,2,19.49279976,-99.12059784,"19.4927997589,-99.1205978394",0,1500,0
116,1/27/2021 18:00,749,901,1,19.43610001,-99.14890289,"19.4361000061,-99.1489028931",5,0,0
117,1/27/2021 18:00,770,922,2,19.42679977,-99.1996994,"19.4267997742,-99.1996994019",0,377,2
118,1/27/2021 18:00,771,923,1,19.47850037,-99.12120056,"19.4785003662,-99.1212005615",0,0,0
119,1/27/2021 18:00,774,926,1,19.49160004,-99.12010193,"19.4916000366,-99.1201019287",0,73,2
121,1/27/2021 18:00,788,940,1,19.49329948,-99.1210022,"19.4932994843,-99.1210021973",0,0,0
122,1/27/2021 18:00,790,942,2,19.42679977,-99.19940186,"19.4267997742,-99.1994018555",0,401,2
123,1/27/2021 18:00,992,1019,2,19.38279915,-99.1760025,"19.3827991486,-99.1760025024",7,0,0
124,1/27/2021 18:00,997,1024,2,19.41279984,-99.16629791,"19.4127998352,-99.1662979126",7,0,2
